icao24,typecode,icaoaircrafttype
4bb207,A21N,L2J
440d78,CL60,L2J
3c654a,A20N,L2J
4bb20e,A21N,L2J
49d5d7,E550,L2J
a6dc3d,GA5C,L2J
4cad7d,A20N,L2J
4cad5c,BCS3,L2J
4401e9,A21N,L2J
a69198,B738,L2J
43e7bd,F2TH,L2J
8015cd,B789,L2J
492908,GLEX,L2J
5002e9,GLF6,L2J
3cd3bb,E55P,L2J
3ce8c7,C56X,L2J
4d24c8,GLF6,L2J
a27e31,GLF5,L2J
5140cf,GLEX,L2J
4cad7e,A20N,L2J
a8f21c,GA6C,L2J
408000,A20N,L2J
440151,DA62,L2P
06a110,A35K,L2J
aa86d8,C560,L2J
424c20,C750,L2J
4d2087,A320,L2J
4d0235,GLF6,L2J
407f00,E550,L2J
4cae18,A21N,L2J
505cea,B738,L2J
711537,A21N,L2J
4cae15,BCS1,L2J
4b1a2d,A320,L2J
4002af,A339,L2J
4bb20a,A21N,L2J
43f703,E55P,L2J
4081a3,A20N,L2J
4d208c,CRJX,L2J
3ca24f,E550,L2J
4cae1d,A21N,L2J
aaafd9,GLF6,L2J
39e694,BCS3,L2J
a5d798,GA6C,L2J
5003b8,E35L,L2J
4b1c69,BR23,L1P
5002fc,GLEX,L2J
500362,GLEX,L2J
4b32fe,EC45,H2T
c03d0c,GLEX,L2J
50039c,FA8X,L3J
a02aab,P210,L1P
aab6f8,GA5C,L2J
abd719,SF50,L1J
4b8da4,F2TH,L2J
ad0836,GLEX,L2J
4932a3,C68A,L2J
500386,PC12,L1T
ab34c9,C182,L1P
4b18e5,FA8X,L3J
8014f0,GLEX,L2J
440d45,P46T,L1T
711587,C68A,L2J
6832ae,P180,L2T
ab6116,GLEX,L2J
80169f,B39M,L2J
5003a6,GA7C,L2J
4d23a5,LJ45,L2J
4d2471,GLEX,L2J
a4a8d0,GLF6,L2J
a1421b,GL7T,L2J
4a0443,A320,L2J
a1fcde,GLF5,L2J
a2806c,CL60,L2J
34758d,GLF6,L2J
452148,C56X,L2J
a5f451,GLF4,L2J
a7c64d,GA6C,L2J
4bb73a,H25B,L2J
89669d,GA6C,L2J
440282,GALX,L2J
4b07fe,DA50,L1P
a072d9,GL5T,L2J
4b3ee3,B429,H2T
0d0f12,C700,L2J
601133,B350,L2T
407f2b,A35K,L2J
a34130,GA5C,L2J
a45509,GLF6,L2J
4bca68,CL60,L2J
424c57,C25C,L2J
458666,B738,L2J
424c4f,C750,L2J
4bc9b3,GL5T,L2J
500374,P180,L2T
896636,B77W,L2J
4d0239,FA7X,L3J
3c64c8,FA7X,L3J
4cae84,B738,L2J
4bb4ec,B738,L2J
39cc8b,GL7T,L2J
020183,LJ45,L2J
459744,F2TH,L2J
a55eca,GLEX,L2J
424c43,FA8X,L3J
408166,PC24,L2J
490d85,CL60,L2J
3009b5,E190,L2J
06a112,A35K,L2J
503e9c,A320,L2J
3d70f5,PC12,L1T
06a0f4,A35K,L2J
abc7d2,GA5C,L2J
4d2070,GL7T,L2J
abf486,B350,L2T
a04035,GL5T,L2J
408144,LJ45,L2J
46b1d3,GLEX,L2J
ab039a,GLEX,L2J
a7bf0d,GLEX,L2J
3cf62a,LJ45,L2J
aa1d79,GL7T,L2J
4d2540,FA7X,L3J
a06b6b,GL5T,L2J
424c76,TBM9,L1T
4bb1b4,CL35,L2J
00891b,PC24,L2J
a63644,C25M,L2J
8940d5,B738,L2J
a2cd68,GLF6,L2J
4b1bf9,S22T,L1P
449681,E295,L2J
4d203f,CL35,L2J
a7c6c6,GA6C,L2J
8965fc,B737,L2J
c018cf,F900,L3J
48d8ee,C130,L4T
4d250c,E55P,L2J
3d8ec8,DA42,L2T
a8dbd3,GL7T,L2J
4b32fd,EC45,H2T
a15c1c,GL7T,L2J
424724,GL7T,L2J
471838,C650,L2J
a8aebc,GLF6,L2J
4bb2af,A20N,L2J
4d24fb,C56X,L2J
505d69,AS50,L1T
aa8858,FA7X,L3J
a2aad4,GLEX,L2J
c00563,FA8X,L3J
038f4a,A20N,L2J
a063fd,GL5T,L2J
a9cb09,GLF5,L2J
a067b4,GL5T,L2J
a16a98,GA6C,L2J
ac7aa4,CL35,L2J
507ca3,B763,L2J
500361,E50P,L2J
a1725f,GA6C,L2J
300979,LJ45,L2J
34768c,A320,L2J
ad0398,C82S,L1P
459653,HDJT,L2J
801567,E35L,L2J
43f70d,E55P,L2J
007f65,A320,L2J
a23142,GA5C,L2J
c085f1,GLEX,L2J
4b181b,A20N,L2J
501c38,BCS3,L2J
4d24a4,B38M,L2J
4cad5b,BCS3,L2J
40029a,GA5C,L2J
3f5d91,A359,L2J
42450b,GL7T,L2J
497cdc,E390,L2J
a3e2cb,GLF4,L2J
ad08af,GLF6,L2J
6832b1,PC24,L2J
347685,F2TH,L2J
